"year" "temp.1" "temp.2" "temp.3" "temp.4" "temp.5" "temp.6" "temp.7" "temp.8" "temp.9" "temp.10" "temp.11" "temp.12"
"1" 1961 -2.3 0.6 1.2 3.3 9.8 17.1 16.3 14.8 11.2 10.1 3.4 -3.6
"2" 1962 -2.7 -4.1 -6.6 3.9 8.4 11.8 15.2 13.4 10.4 7.6 2.5 -5.1
"3" 1963 -8.3 -9.8 -7.7 2.5 12.2 14.8 16.5 17 13.6 7.1 1.5 -2.6
"4" 1964 -1.9 -7.9 -3.6 2.7 9.3 14.5 17 15.1 11 8.1 0.8 -0.8
"5" 1965 -2.7 -6.7 -2.7 3.3 7.2 14.9 14.7 14.7 13.3 6.7 -2.9 -2.5
"6" 1966 -11.6 -12.2 -1.8 0 8.9 16.4 17.9 15 9.9 5.9 3 -3.2
"7" 1967 -9.7 -4.4 1 3.6 9.2 13.5 16.7 16.2 13.5 9.4 4.3 -8.1
"8" 1968 -12.8 -4.2 -0.4 4.4 7.5 16.1 15.5 16.6 11.7 3.4 -0.6 -1.3
"9" 1969 -8.1 -9 -6 3.1 8 15.7 16.8 17.2 10.5 6.1 1.2 -5.7
"10" 1970 -8.6 -11.4 -1.7 1.7 9.3 16.9 16.1 16.1 10.6 5.1 0.2 -1.6
"11" 1971 -1.3 -4.9 -4.1 2.2 9.6 13.9 17 15.7 10 5.6 -0.2 -1
"12" 1972 -7.2 -3.8 -2.6 2 8.8 16.2 20.2 16.9 11 5.5 1.6 2.7
"13" 1973 -1.1 -3.3 -0.4 2.9 9.7 16.6 20 15.4 8.3 3.4 -1.4 -5.2
"14" 1974 -1.9 0.1 -0.4 3.2 7.4 14.5 16 14.7 13.2 6.6 3.4 1.8
"15" 1975 -0.3 -2 0.5 3.5 11.4 13.7 17.9 17.1 13.4 5.8 2.2 -0.7
"16" 1976 -8.5 -5.9 -4.1 2.1 10.8 13 15.9 15.4 8.9 2.9 1.4 -3.2
"17" 1977 -5.5 -8.3 -1.9 1.5 9.1 14.3 14.8 15 8.8 5.9 2.5 -2.7
"18" 1978 -4.7 -10.3 -2.4 2 10.1 14.3 15.7 14.4 9.6 4.8 3.1 -11.1
"19" 1979 -7.6 -8.9 -1.2 1.6 9.3 15.5 15.1 16.7 10.8 4.9 2.5 -2.8
"20" 1980 -7.4 -7.3 -5.7 4.4 7.2 16.8 17.4 15.8 11.8 6.4 -0.9 -1.8
